,shichva
0,35
1,8
2,9
3,39
4,14
5,30
6,10
7,11
8,9
9,6
10,10
11,12
12,3
13,14
14,11
15,11
16,16
17,39
18,8
19,37
20,9
21,11
22,4
23,11
24,20
25,5
26,10
27,27
28,3
29,5
30,4
31,5
32,3
33,26
34,13
35,7
36,12
37,12
38,9
39,4
40,8
41,8
42,28
43,9
44,8
45,21
46,1
47,13
48,12
49,28
50,46
51,39
52,14
53,25
54,9
55,32
56,5
57,10
58,25
59,10
60,38
61,54
62,4
63,7
64,9
65,10
66,46
67,5
68,5
69,4
70,3
71,31
72,11
73,29
74,14
75,29
76,6
77,52
78,27
79,38
80,9
81,9
82,30
83,38
84,9
85,14
86,7
87,40
88,30
89,12
90,3
91,12
92,38
93,3
94,30
95,4
96,1
97,9
98,10
99,14
100,37
101,31
102,25
103,38
104,16
105,14
106,8
107,31
108,3
109,12
110,9
111,26
112,20
113,10
114,18
115,8
116,1
117,9
118,9
119,4
120,8
121,9
122,31
123,4
124,18
125,11
126,28
127,9
128,3
129,21
130,3
131,15
132,52
133,10
134,9
135,4
136,31
137,1
138,12
139,33
140,4
141,14
142,13
143,13
144,10
145,32
146,9
147,6
148,9
149,9
150,37
151,51
152,31
153,38
154,9
155,5
156,27
157,37
158,3
159,34
160,32
161,28
162,26
163,9
164,30
165,10
166,10
167,27
168,9
169,18
170,10
171,13
172,13
173,24
174,7
175,11
176,33
177,16
178,9
179,9
180,1
181,8
182,4
183,10
184,35
185,19
186,25
187,9
188,9
189,3
190,36
191,1
192,12
193,51
194,44
195,11
196,1
197,3
198,13
199,10
200,1
201,19
202,4
203,9
204,7
205,19
206,37
207,4
208,4
209,40
210,10
211,20
212,4
213,36
214,9
215,23
216,46
217,14
218,9
219,30
220,10
221,18
222,21
223,9
224,14
225,14
226,10
227,11
228,9
229,4
230,10
231,6
232,39
233,9
234,12
235,10
236,25
237,32
238,31
239,6
240,12
241,13
242,13
243,27
244,9
245,11
246,13
247,7
248,6
249,10
250,7
251,10
252,22
253,4
254,6
255,5
256,5
257,4
258,23
259,12
260,10
261,7
262,9
263,11
264,5
265,11
266,5
267,4
268,16
269,12
270,16
271,33
272,12
273,10
274,12
275,16
276,39
277,27
278,39
279,30
280,12
281,11
282,1
283,7
284,10
285,30
286,12
287,10
288,20
289,25
290,6
291,8
292,1
293,14
294,37
295,6
296,7
297,9
298,14
299,9
300,11
301,4
302,7
303,10
304,9
305,3
306,13
307,6
308,5
309,51
310,4
311,1
312,5
313,17
314,23
315,9
316,6
317,4
318,12
319,53
320,20
321,10
322,24
323,9
324,10
325,9
326,14
327,43
328,24
329,32
330,6
331,7
332,24
333,13
334,16
335,31
336,9
337,38
338,37
339,18
340,45
341,11
342,9
343,3
344,32
345,38
346,44
347,5
348,6
349,5
350,45
351,10
352,3
353,38
354,21
355,11
356,10
357,11
358,9
359,13
360,23
361,12
362,10
363,37
364,3
365,25
366,7
367,20
368,10
369,39
370,10
371,9
372,39
373,7
374,3
375,4
376,11
377,13
378,3
379,24
380,31
381,50
382,5
383,27
384,18
385,10
386,3
387,3
388,13
389,18
390,44
391,9
392,17
393,13
394,52
395,5
396,12
397,10
398,4
399,21
400,1
401,13
402,33
403,36
404,7
405,9
406,38
407,37
408,4
409,12
410,17
411,5
412,56
413,5
414,13
415,12
416,4
417,4
418,4
419,1
420,10
421,31
422,9
423,3
424,11
425,24
426,9
427,23
428,8
429,23
430,33
431,7
432,51
433,11
434,9
435,30
436,27
437,30
438,5
439,11
440,26
441,39
442,4
443,24
444,8
445,3
446,4
447,10
448,10
449,11
450,51
451,10
452,4
453,21
454,11
455,31
456,9
457,11
458,26
459,23
460,8
461,8
462,20
463,11
464,40
465,33
466,37
467,3
468,3
469,10
470,29
471,9
472,16
473,9
474,48
475,33
476,26
477,11
478,6
479,5
480,8
481,11
482,11
483,6
484,24
485,15
486,12
487,9
488,28
489,30
490,12
491,30
492,30
493,1
494,52
495,26
496,10
497,8
498,5
499,45
500,5
501,9
502,8
503,4
504,23
505,6
506,13
507,5
508,13
509,12
510,9
511,7
512,14
513,10
514,20
515,30
516,5
517,10
518,16
519,3
520,5
521,10
522,10
523,21
524,4
525,4
526,4
527,10
528,28
529,4
530,22
531,8
532,38
533,9
534,31
535,13
536,24
537,16
538,3
539,13
540,23
541,4
542,13
543,11
544,3
545,1
546,6
547,13
548,8
549,9
550,5
551,9
552,35
553,4
554,19
555,10
556,44
557,1
558,27
559,11
560,33
561,37
562,12
563,10
564,38
565,5
566,9
567,14
568,13
569,4
570,5
571,11
572,51
573,10
574,4
575,14
576,5
577,4
578,25
579,38
580,12
581,25
582,5
583,21
584,3
585,9
586,3
587,36
588,12
589,39
590,29
591,3
592,33
593,32
594,38
595,9
596,32
597,36
598,3
599,26
600,9
601,3
602,37
603,13
604,26
605,12
606,12
607,12
608,31
609,4
610,11
611,12
612,9
613,46
614,53
615,10
616,32
617,9
618,12
619,9
620,9
621,3
622,10
623,10
624,11
625,7
626,18
627,16
628,5
629,4
630,12
631,9
632,1
633,12
634,12
635,6
636,6
637,36
638,28
639,11
640,22
641,10
642,14
643,31
644,24
645,27
646,13
647,6
648,8
649,1
650,9
651,10
652,10
653,1
654,23
655,3
656,4
657,39
658,27
659,9
660,18
661,14
662,3
663,19
664,10
665,24
666,12
667,10
668,41
669,9
670,9
671,7
672,13
673,1
674,5
675,16
676,1
677,41
678,7
679,9
680,13
681,37
682,23
683,6
684,37
685,32
686,6
687,8
688,46
689,37
690,4
691,16
692,13
693,3
694,41
695,5
696,13
697,1
698,3
699,9
700,11
701,30
702,3
703,37
704,1
705,9
706,3
707,9
708,12
709,9
710,9
711,9
712,9
713,33
714,10
715,12
716,28
717,29
718,1
719,10
720,11
721,12
722,11
723,3
724,30
725,10
726,25
727,3
728,15
729,9
730,4
731,6
732,11
733,9
734,9
735,11
736,1
737,11
738,23
739,4
740,1
741,1
742,4
743,9
744,38
745,25
746,8
747,3
748,9
749,9
750,18
751,37
752,12
753,1
754,24
755,17
756,8
757,3
758,24
759,9
760,12
761,30
762,36
763,12
764,5
765,11
766,11
767,3
768,24
769,6
770,16
771,12
772,5
773,52
774,5
775,26
776,9
777,39
